"Source","Target"
"MSP","SEA"
"OAK","OGG"
"OAK","PDX"
"OAK","SEA"
"OGG","SJC"
"OGG","SMF"
"OME","OTZ"
"ONT","PDX"
"ONT","SEA"
"ORD","PDX"
"ORD","SAN"
"ORD","SEA"
"ORD","SFO"
"PDX","PHX"
"PDX","SAN"
"PDX","SFO"
"PDX","SJC"
"PDX","SNA"
"PHL","SEA"
"PHX","SEA"
"PSP","SFO"
"SAN","SEA"
"SEA","HNL"
"SEA","SFO"
"SEA","SJC"
"SEA","SMF"
"SEA","SNA"
"SEA","STL"
"SFO","SJD"
"SJC","LAX"
"SJC","SJD"
"SLC","LAX"
"ACC","CMN"
"ALG","CMN"
"AMS","NDR"
"AMS","TNG"
"AUH","SIN"
"BCN","CMN"
"BCN","TNG"
"BGF","CMN"
"BLQ","CMN"
"BRU","CMN"
"BRU","NDR"
"BRU","TNG"
"CMN","COO"
"CMN","FIH"
"CMN","LFW"
"CMN","LGW"
"CMN","LYS"
"CMN","TIP"
"CMN","TXL"
"CPH","CMN"
"LOS","CMN"
"MRS","RAK"
"RAK","TLS"
"TXL","CPH"
"BOG","EZE"
"BOG","GYE"
"BOG","MIA"
"BOG","UIO"
"BOG","YYZ"
"CLO","GYE"
"CLO","MIA"
"CLT","SJO"
"DFW","SAL"
"EZE","LIM"
"GUA","SAP"
"GUA","TGU"
"LIM","LPB"
"LIM","MEX"
"LIM","MIA"
"LIM","SCL"
"LIM","VVI"
"MDE","MIA"
"MEX","SAL"
"MEX","YYZ"
"MIA","SAL"
"MIA","SAP"
"SCL","ANF"
"ACC","LOS"
"ARN","LHR"
"ARN","TXL"
"ARN","VIE"
"AUS","LHR"
"BCN","MIA"
"BNE","CNS"
"BOS","MAD"
"BWI","LHR"
"CDG","DFW"
"CDG","HEL"
"CPH","DUS"
"CPH","VIE"
"CTA","MUC"
"DEN","LHR"
"DFW","LHR"
"DFW","MAD"
"DUB","ORD"
"DUS","FLR"
"DUS","HEL"
"DUS","SZG"
"EWR","LHR"
"FCO","JFK"
"FCO","ORD"
"FLR","VIE"
"FRA","HEL"
"FRA","MAD"
"GOT","TXL"
"GVA","OPO"
"HAM","HEL"
"HAM","SZG"
"HEL","JFK"
"HEL","LHR"
"HEL","MAN"
"HEL","MUC"
"HEL","VIE"
"HEL","ZRH"
"IAD","LHR"
"IAH","LHR"
"JFK","MAN"
"JFK","MXP"
"JFK","SJU"
"JFK","YUL"
"LAS","LGW"
"LAS","LHR"
"LAX","LHR"
"LAX","MAD"
"LGW","MCO"
"LGW","TPA"
"LHR","LIS"
"LHR","MIA"
"LHR","ORD"
"LHR","PHL"
"LHR","PHX"
"LHR","RDU"
"LHR","SAN"
"LHR","SFO"
"MAD","MIA"
"MAD","ORD"
"MAN","ORD"
"MIA","MXP"
"OSL","TXL"
"OTP","TXL"
"SOF","TXL"
"SZG","TXL"
"ZRH","LIS"
"ABJ","CDG"
"ABQ","ATL"
"ABZ","CDG"
"ACC","FCO"
"AJA","LYS"
"AJA","MRS"
"AJA","NCE"
"ALG","FCO"
"AMS","CPH"
"AMS","CTA"
"AMS","HAM"
"AMS","HEL"
"AMS","LIN"
"AMS","PMO"
"ARN","CDG"
"ATH","FCO"
"ATH","LCA"
"ATH","VCE"
"ATL","AUS"
"ATL","BUF"
"ATL","CAE"
"ATL","DAY"
"ATL","ELP"
"ATL","FLL"
"ATL","GNV"
"ATL","GPT"
"ATL","IAH"
"ATL","ICT"
"ATL","ILM"
"ATL","LAS"
"ATL","LIT"
"ATL","MYR"
"ATL","OKC"
"ATL","OMA"
"ATL","PTY"
"ATL","ROC"
"ATL","SAT"
"ATL","SNA"
"ATL","SRQ"
"ATL","TUS"
"ATL","VPS"
"AUH","BLR"
"AUH","CMB"
"AUH","COK"
"AUH","KWI"
"AUH","LHE"
"AUH","MCT"
"AUH","PEK"
"BES","CDG"
"BIA","MRS"
"BIA","NCE"
"BIO","CDG"
"BKK","CDG"
"BLL","CDG"
"BLQ","CDG"
"BLQ","CTA"
"BLQ","TIA"
"BOD","CDG"
"BOS","CDG"
"BRE","CDG"
"BRI","LIN"
"CDG","CPH"
"CDG","CTA"
"CDG","DKR"
"CDG","DTW"
"CDG","DUB"
"CDG","DUS"
"CDG","DXB"
"CDG","EDI"
"CDG","EVN"
"CDG","FCO"
"CDG","FLR"
"CDG","GOA"
"CDG","GOT"
"CDG","HAJ"
"CDG","HAN"
"CDG","HKG"
"CDG","IAD"
"CDG","IAH"
"CDG","JNB"
"CDG","LAX"
"CDG","LIM"
"CDG","LIS"
"CDG","MAN"
"CDG","MPL"
"CDG","NAP"
"CDG","NCL"
"CDG","NTE"
"CDG","NUE"
"CDG","OSL"
"CDG","PMO"
"CDG","PRG"
"CDG","PUJ"
"CDG","RNS"
"CDG","SCL"
"CDG","SEA"
"CDG","SFO"
"CDG","SGN"
"CDG","STR"
"CDG","SVG"
"CDG","SXM"
"CDG","TRN"
"CDG","TXL"
"CDG","VCE"
"CDG","VGO"
"CDG","VRN"
"CLY","MRS"
"CLY","NCE"
"CMN","FCO"
"CPH","VCE"
"CTA","LGW"
"CTA","LIN"
"CTA","LYS"
"CTA","MXP"
"CTA","PSA"
"CTA","SVO"
"CTA","TRN"
"CTA","VCE"
"CTA","VIE"
"CTA","VRN"
"EZE","FCO"
"FCO","ICN"
"FCO","LCY"
"FCO","LHR"
"FCO","LOS"
"FCO","MPL"
"FCO","MRS"
"FCO","NCE"
"FCO","TIP"
"FCO","TLS"
"FCO","TLV"
"FCO","VIE"
"FCO","YYZ"
"FSC","MRS"
"FSC","NCE"
"GOA","TIA"
"ICN","MXP"
"KIV","OTP"
"LCY","LIN"
"LED","VCE"
"LGW","PMO"
"LHR","LIN"
"LIN","NAP"
"LIN","ORY"
"LIN","PMO"
"LPA","MAD"
"LYS","TLS"
"MAD","MEX"
"MAD","VGO"
"MRS","MXP"
"MRS","VCE"
"MXP","TIA"
"NCE","VCE"
"PMI","VLC"
"PMO","SVO"
"PMO","TRN"
"PMO","TXL"
"PMO","VCE"
"PMO","VRN"
"PRG","PSA"
"PRG","VCE"
"PSA","SVO"
"PSA","TIA"
"PSA","TXL"
"STT","JFK"
"SUF","TRN"
"SUF","VCE"
"TIA","VCE"
"TIA","VRN"
"TLS","VCE"
"YYZ","DTW"
"HEL","MSQ"
"MBA","NBO"
"MYD","WIL"
"NBO","MGQ"
"AUS","JFK"
"BDA","JFK"
"BOG","FLL"
"BOG","MCO"
"BOS","BUF"
"BOS","CLT"
"BOS","DCA"
"BOS","DFW"
"BOS","JFK"
"BOS","ORD"
"BOS","PHL"
"BOS","PHX"
"BOS","PIT"
"BOS","RIC"
"BOS","STT"
"CLT","JFK"
"CUN","MCO"
"DCA","FLL"
"DCA","MCO"
"DCA","TPA"
"FLL","PAP"
"JFK","LAS"
"JFK","MCO"
"JFK","ORD"
"JFK","PHX"
"JFK","RDU"
"JFK","SXM"
"JFK","TPA"
"LGA","PBI"
"ORD","SJU"
"SJU","STT"
"SJU","STX"
"HGH","KHH"
"HGH","RMQ"
"NGB","RMQ"
"NGB","TPE"
"NKG","TPE"
"SHE","TPE"
"TPE","YNZ"
"ABZ","LHR"
"ACC","LHR"
"AGP","LHR"
"AMS","LCY"
"AMS","LHR"
"AUH","LHR"
"BAH","LHR"
"BCN","LHR"
"BGO","LHR"
"BLQ","LHR"
"BLR","LHR"
"BRU","LHR"
"BUD","LHR"
"CNS","HKG"
"CPH","LHR"
"CPT","LHR"
"DFW","MSY"
"DUB","LHR"
"DUS","LHR"
"DXB","LHR"
"EBB","LHR"
"EDI","LHR"
"EWR","ORY"
"FLR","LCY"
"FRA","ATL"
"FRA","LCY"
"GLA","LHR"
"GOT","LHR"
"GUA","SAL"
"GVA","LHR"
"HEL","VNO"
"HEL","WAW"
"HYD","LHR"
"IST","LHR"
"JFK","ORY"
"JNB","LHR"
"KWI","LHR"
"LBA","LHR"
"LCA","LHR"
"LCY","RTM"
"LCY","ZRH"
"LGW","RAK"
"LGW","SZG"
"LHR","LUX"
"LHR","LYS"
"LHR","MAA"
"LHR","MAN"
"LHR","MEX"
"LHR","MRS"
"LHR","MXP"
"LHR","NBO"
"LHR","NCE"
"LHR","NCL"
"LHR","ORY"
"LHR","OSL"
"LHR","OTP"
"LHR","PRG"
"LHR","PSA"
"LHR","RTM"
"LHR","SOF"
"LHR","SVG"
"LHR","TLS"
"LHR","VCE"
"LHR","WAW"
"LHR","ZAG"
"MIA","MSY"
"MIA","STT"
"OSL","AAL"
"SAL","MAD"
"SJO","MIA"
"DOM","SJU"
"FDF","SJU"
"PTP","SJU"
"PUJ","SJU"
"SDQ","SJU"
"SJU","STI"
"SJU","SXM"
"STT","STX"
"CTS","NRT"
"FUK","HND"
"BES","SOU"
"BHX","CDG"
"BHX","LYS"
"CDG","EXT"
"CWL","JER"
"EXT","RNS"
"GCI","JER"
"MAN","NTE"
"MRS","ORY"
"NCE","SOU"
"NTE","SOU"
"ORY","SOU"
"RNS","SOU"
"AUH","ZYL"
"BKK","DAC"
"CGP","AUH"
"CGP","DAC"
"CGP","MCT"
"DAC","JED"
"DAC","KTM"
"DAC","KUL"
"DAC","MCT"
"DXB","ZYL"
"FCO","FRA"
"KWI","CGP"
"LHR","ZYL"
"ZYL","DAC"
"BWN","DWC"
"BWN","KUL"
"BWN","MNL"
"DWC","LHR"
"DXB","BWN"
"CDG","TUN"
"DUS","NBE"
"MUC","NBE"
"NTE","LYS"
"CKG","CSX"
"CKG","DYG"
"CKG","XNN"
"CSX","NKG"
"CSX","XMN"
"DLC","TSN"
"HFE","KMG"
"HGH","TSN"
"HRB","TSN"
"KMG","NKG"
"NGB","SYX"
"NKG","SHE"
"ABZ","MAN"
"BKK","LHR"
"CGO","TPE"
"ICN","KHH"
"KHH","NRT"
"KHH","PVG"
"KIX","TPE"
"NRT","TPE"
"PVG","TPE"
"SIN","TPE"
"AMS","AUH"
"AUH","FRA"
"AUH","MUC"
"CDG","RIX"
"DUS","RIX"
"FCO","RIX"
"FRA","RIX"
"HAM","RIX"
"HEL","RIX"
"MSQ","RIX"
"MUC","RIX"
