source_city,target_city,Source,Target,latitude.x,longitude.x,aiportname.x,latitude.y,longitude.y,aiportname.y
Antigua_Antigua and Barbuda,Miami_US,ANU,MIA,17.1367,-61.792702,V.C. Bird International Airport,25.7932,-80.290604,Miami International Airport
Faleolo_Samoa,Auckland_New Zealand,APW,AKL,-13.83,-172.007996,Faleolo International Airport,-37.008099,174.792007,Auckland International Airport
Asuncion_Paraguay,Miami_US,ASU,MIA,-25.24,-57.52,Silvio Pettirossi International Airport,25.7932,-80.290604,Miami International Airport
Oranjestad_Aruba,Charlotte_US,AUA,CLT,12.5014,-70.015198,Queen Beatrix International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Oranjestad_Aruba,Philadelphia_US,AUA,PHL,12.5014,-70.015198,Queen Beatrix International Airport,39.871899,-75.241096,Philadelphia International Airport
Austin_US,Charlotte_US,AUS,CLT,30.1945,-97.669899,Austin Bergstrom International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Austin_US,Philadelphia_US,AUS,PHL,30.1945,-97.669899,Austin Bergstrom International Airport,39.871899,-75.241096,Philadelphia International Airport
Austin_US,Phoenix_US,AUS,PHX,30.1945,-97.669899,Austin Bergstrom International Airport,33.434299,-112.012001,Phoenix Sky Harbor International Airport
Scranton_US,Charlotte_US,AVP,CLT,41.338501,-75.723396,Wilkes Barre Scranton International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Scranton_US,Philadelphia_US,AVP,PHL,41.338501,-75.723396,Wilkes Barre Scranton International Airport,39.871899,-75.241096,Philadelphia International Airport
Barcelona_Spain,Philadelphia_US,BCN,PHL,41.2971,2.07846,Barcelona International Airport,39.871899,-75.241096,Philadelphia International Airport
Bermuda_Bermuda,Miami_US,BDA,MIA,32.363998,-64.678703,L.F. Wade International International Airport,25.7932,-80.290604,Miami International Airport
Bermuda_Bermuda,Philadelphia_US,BDA,PHL,32.363998,-64.678703,L.F. Wade International International Airport,39.871899,-75.241096,Philadelphia International Airport
Windsor Locks_US,Charlotte_US,BDL,CLT,41.9389,-72.683197,Bradley International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Windsor Locks_US,Washington_US,BDL,DCA,41.9389,-72.683197,Bradley International Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Windsor Locks_US,Dallas-Fort Worth_US,BDL,DFW,41.9389,-72.683197,Bradley International Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
